Timestamp,FSR 1,FSR 2,FSR 3,FSR 4,FSR 5,FSR 6,FSR 7,FSR 8,FSR 9,FSR 10,FSR 11,FSR 12
1743705638905512,3,4,3,0,8,3,0,4,0,4,1,1
1743705638906476,6,0,2,3,0,2,4,4,2,2,3,0
1743705638908505,21,2,0,1,4,3,3,5,1,3,4,4
1743705638910498,2,4,2,3,1,3,2,0,5,2,0,1
1743705638911163,3,4,4,3,1,3,18,0,0,0,0,1
1743705638913237,3,1,0,0,0,0,6,4,1,3,0,3
1743705638914236,8,5,4,1,3,2,0,5,4,2,1,2
1743705638915238,6,0,0,3,4,3,0,5,5,3,0,4
1743705638917544,1,4,0,0,3,4,3,4,1,0,4,3
1743705638918697,4,3,3,3,1,3,5,3,5,0,0,4
1743705638919694,8,2,3,0,4,3,5,4,3,0,1,3
1743705638921692,8,0,4,4,1,2,3,3,0,3,3,3
1743705638922731,6,3,2,3,0,4,3,3,7,0,3,7
1743705638924719,7,1,0,2,2,0,0,3,3,3,3,3
1743705638925697,8,3,4,4,4,4,0,2,3,3,0,3
1743705638927420,6,0,6,2,6,4,2,0,4,1,2,0
1743705638928819,3,1,3,2,6,5,1,2,3,5,2,3
1743705638930821,6,0,0,0,2,3,1,3,6,3,5,1
1743705638931850,7,3,0,4,4,3,2,1,1,3,4,2
1743705638933847,4,4,2,4,3,0,2,0,4,2,5,0
1743705638934852,6,4,0,0,6,4,2,0,2,0,4,1
1743705638936820,2,3,2,1,0,2,4,0,4,3,0,2
1743705638937818,5,0,4,3,0,4,3,7,2,0,3,0
1743705638939851,2,3,0,4,2,0,2,1,3,5,8,2
1743705638940843,8,0,0,3,2,2,4,4,3,0,4,2
1743705638942822,5,3,4,0,0,1,2,0,0,4,18,3
1743705638944546,2,4,1,3,3,5,3,3,3,6,4,2
1743705638946367,7,2,3,0,3,1,3,4,3,1,4,6
1743705638947368,7,1,3,4,3,0,3,2,3,2,0,4
1743705638948755,7,4,0,2,2,2,3,0,3,0,4,2
1743705638950798,4,2,0,4,2,0,0,3,0,4,1,2
1743705638951798,5,0,2,0,3,2,0,4,4,3,1,3
1743705638952842,7,0,1,2,1,4,1,3,1,3,0,2
1743705638955251,3,4,2,2,2,4,3,4,5,2,4,0
1743705638956276,6,0,3,3,0,3,3,1,4,3,3,4
1743705638957262,6,1,0,4,4,4,12,2,0,1,0,0
1743705638958272,4,1,4,0,3,1,2,5,2,7,3,4
1743705638959823,6,1,0,7,0,4,4,3,5,4,2,2
1743705638961787,5,3,3,0,4,3,2,0,0,1,6,4
1743705638962756,6,2,2,5,2,2,2,3,3,1,4,5
1743705638964780,2,2,1,0,3,0,0,3,2,7,0,3
1743705638965754,5,1,2,3,2,2,1,3,0,0,4,0
1743705638966794,4,3,0,5,0,3,1,3,1,2,0,1
1743705638968839,6,0,3,0,3,2,2,0,14,4,0,3
1743705638969775,6,3,0,3,4,2,3,2,0,4,3,0
1743705638970754,5,6,0,4,4,1,2,3,1,6,0,4
1743705638971585,6,0,1,1,0,4,2,0,14,3,0,2
1743705638972730,13,1,0,3,2,0,3,0,0,1,0,1
1743705638973773,7,5,0,2,1,4,2,4,4,0,2,1
1743705638974742,6,1,5,4,4,2,1,3,3,1,3,2
1743705638975741,8,4,3,3,2,1,0,0,1,2,0,1
1743705638977832,12,4,1,4,1,2,0,3,2,1,3,0
1743705638979463,3,15,1,4,0,4,0,0,0,0,0,2
