Timestamp,FSR 1,FSR 2,FSR 3,FSR 4,FSR 5,FSR 6,FSR 7,FSR 8,FSR 9,FSR 10,FSR 11,FSR 12,Temperature (°C)
1743710981513835,8,6,12,8,8,7,7,5,8,6,10,6,21.02
1743710981515870,6,7,8,9,7,9,9,7,7,6,4,6,20.85
1743710981517978,6,7,9,7,7,7,7,9,7,5,7,7,20.97
1743710981519035,11,6,7,7,6,7,7,6,7,7,7,8,20.9
1743710981521235,8,7,4,7,9,4,7,8,7,7,7,7,21.06
1743710981523850,10,7,9,8,7,8,6,7,8,6,7,7,20.95
1743710981525869,10,8,7,8,7,7,8,8,6,7,3,7,21.02
1743710981527783,7,7,7,7,6,7,6,8,9,8,7,7,21.11
1743710981529479,9,7,8,8,7,7,6,8,6,8,6,9,21.02
1743710981531527,6,2,9,7,6,8,6,8,6,7,7,7,20.9
1743710981533542,10,7,7,8,7,7,8,7,6,7,7,7,20.95
1743710981535157,10,8,6,7,8,7,8,7,8,7,7,7,20.99
1743710981536177,7,6,6,8,7,7,5,6,7,7,6,8,20.97
1743710981538192,10,6,7,6,9,6,7,7,7,7,7,7,20.97
1743710981540416,9,7,7,6,7,7,8,7,7,7,8,8,21.02
1743710981541544,10,8,8,8,6,8,7,7,7,6,7,8,20.94
1743710981543819,9,6,7,7,8,6,5,7,7,7,9,5,20.92
1743710981546123,9,7,7,6,7,9,7,9,7,7,7,8,20.8
1743710981548044,8,8,7,8,7,8,7,4,6,7,7,7,20.62
1743710981549046,8,7,7,7,7,9,6,7,6,7,6,8,21.06
1743710981551540,7,8,8,6,7,7,7,7,7,7,7,6,21.06
1743710981553236,9,7,7,9,7,7,8,7,8,5,7,6,21.0
1743710981555246,10,4,8,7,7,7,8,8,9,5,7,9,20.92
1743710981556959,9,8,4,7,7,8,8,4,7,8,7,7,21.04
1743710981559818,9,6,7,7,7,5,4,7,8,7,8,7,20.97
1743710981561343,9,7,6,7,7,7,9,8,7,8,8,6,20.99
1743710981563349,6,8,8,6,7,7,7,6,6,8,8,8,20.97
1743710981564343,6,6,7,7,7,7,8,7,8,6,7,9,20.83
1743710981566349,8,8,7,7,4,7,6,4,7,6,7,9,20.95
1743710981568079,9,7,7,7,4,7,8,8,7,8,7,7,21.0
1743710981570155,7,7,5,7,7,7,6,4,7,6,7,5,21.11
1743710981571257,10,7,6,8,6,7,8,8,7,8,7,5,20.64
1743710981573396,7,8,7,7,7,7,6,7,7,7,9,4,21.0
1743710981574740,11,7,6,7,5,7,6,7,9,4,7,7,21.11
1743710981577183,6,7,7,7,6,5,7,8,8,7,10,7,21.06
1743710981579222,10,8,7,5,7,8,8,7,4,6,7,7,20.4
1743710981581261,7,7,6,8,6,7,7,7,8,7,4,9,20.99
1743710981582265,8,7,7,7,7,5,7,7,7,7,6,8,20.81
1743710981584176,10,7,7,8,9,7,8,7,4,7,8,7,21.0
1743710981586262,9,10,8,7,7,5,7,8,7,8,8,8,21.06
1743710981587804,20,8,6,7,7,7,8,7,7,6,5,6,20.95
1743710981588800,10,8,3,7,7,7,8,7,5,7,6,8,21.0
1743710981590516,8,7,8,7,7,3,7,9,7,7,7,7,20.92
1743710981592780,12,7,6,7,8,8,7,8,7,7,7,8,20.97
1743710981593934,17,8,7,7,8,7,7,6,7,10,7,6,21.11
1743710981597116,9,8,7,7,6,7,7,10,7,8,4,8,20.73
1743710981599119,7,6,8,7,7,7,2,7,8,7,8,7,21.07
1743710981600117,8,8,7,8,6,7,7,11,7,8,6,7,20.97
1743710981602119,9,7,7,7,5,7,6,8,7,8,7,7,20.97
1743710981603788,11,8,7,8,6,7,7,8,4,9,11,7,20.9
1743710981604796,7,7,8,4,7,7,7,6,7,5,4,7,20.9
1743710981607973,10,7,7,7,7,4,7,7,8,8,6,8,20.94
1743710981610587,10,8,8,8,6,6,6,7,9,4,7,7,20.94
1743710981611593,9,7,8,9,5,9,7,6,5,7,8,7,21.07
1743710981613592,9,8,7,7,6,7,7,6,7,8,8,8,20.88
1743710981614585,8,8,7,6,7,7,7,8,8,7,6,8,20.88
1743710981616590,10,7,9,7,7,7,7,6,8,7,7,7,20.75
1743710981618592,10,7,9,7,6,8,7,7,7,6,7,7,20.97
1743710981619638,8,8,8,5,10,7,7,7,8,7,8,7,20.94
1743710981621763,9,7,9,7,7,7,7,7,8,6,8,7,21.04
1743710981623824,15,8,7,6,7,8,7,8,9,7,6,6,20.94
1743710981624890,7,7,9,7,4,7,6,7,7,7,7,7,21.14
1743710981626895,8,6,7,10,8,9,7,7,7,7,7,6,21.07
1743710981628895,9,6,9,7,8,8,6,7,9,7,11,7,21.06
1743710981629974,9,7,7,7,7,8,8,7,8,6,6,7,21.02
1743710981631894,8,7,8,7,8,7,8,7,7,8,7,7,21.09
1743710981632897,8,6,7,6,9,7,7,7,7,7,10,8,21.09
1743710981634895,9,8,6,8,7,7,8,7,11,6,7,4,21.02
1743710981635897,8,7,8,8,7,8,7,8,8,6,8,7,21.14
1743710981638477,14,8,7,8,7,7,7,6,8,7,7,8,20.9
1743710981640467,6,8,5,7,5,8,6,8,7,6,8,9,21.11
1743710981642007,7,7,8,7,6,8,7,7,7,7,7,7,21.14
1743710981643007,9,7,7,7,7,8,8,6,6,7,7,7,21.09
1743710981645001,9,7,8,7,7,7,6,7,11,7,8,7,21.07
1743710981646923,10,7,7,7,7,6,7,5,6,7,8,7,21.18
1743710981648344,6,8,7,8,7,7,9,7,7,9,7,11,21.16
1743710981650733,11,7,7,7,8,7,7,7,8,6,8,7,21.16
1743710981676863,8,8,7,7,6,8,6,7,6,7,6,7,21.21
1743710981706339,9,7,3,7,4,7,8,10,7,9,7,7,21.14
1743710981732569,9,7,7,7,7,7,8,7,6,6,4,7,21.26
1743710981759650,8,7,6,7,7,8,8,6,9,7,7,7,21.16
1743710981786334,9,6,8,8,8,8,9,8,7,10,7,7,21.16
1743710981813910,8,7,4,7,7,7,7,7,8,7,6,7,21.13
1743710981841383,9,7,7,7,7,7,6,7,7,6,7,8,21.26
1743710981867851,8,7,10,7,8,7,8,7,7,8,7,6,21.26
1743710981894569,8,8,6,7,8,7,6,7,7,7,8,7,20.81
1743710981922642,9,9,7,7,7,8,8,8,7,6,7,8,21.23
1743710981950497,9,7,7,7,7,6,4,7,8,8,7,7,21.35
1743710981977212,8,6,8,8,7,4,7,7,7,3,7,8,21.23
1743710982004853,10,6,7,7,7,8,8,7,8,6,7,8,21.33
1743710982031508,6,6,7,7,7,8,8,7,7,7,7,7,21.18
1743710982058537,9,10,8,11,5,11,7,8,6,8,6,7,21.21
1743710982086317,9,7,6,8,7,6,8,8,7,7,8,7,21.26
1743710982112456,6,7,7,8,7,7,8,7,7,8,8,6,21.25
1743710982140056,9,7,7,7,7,7,5,7,7,6,14,9,21.25
1743710982167960,7,11,7,7,8,8,7,7,9,7,8,12,21.33
1743710982194495,8,6,8,8,7,7,6,6,10,9,8,9,21.35
1743710982220948,10,7,7,7,7,7,6,7,7,8,8,8,21.35
1743710982247798,7,7,8,6,6,8,7,4,7,7,8,7,20.85
1743710982274992,10,4,7,9,8,4,7,7,7,7,7,8,21.16
1743710982301216,7,7,7,7,6,7,7,7,7,7,9,7,21.26
1743710982328788,10,7,8,7,7,7,8,7,8,4,9,8,21.33
1743710982355263,10,7,7,8,4,6,7,6,7,10,7,7,21.32
1743710982381612,10,8,8,7,8,7,7,7,8,8,7,7,21.38
1743710982408496,10,6,7,8,7,8,6,8,8,8,8,7,21.06
1743710982434685,8,7,8,7,7,7,7,9,8,7,6,7,21.37
1743710982461897,8,7,7,8,6,8,8,6,5,9,7,8,21.38
1743710982488839,10,7,8,7,8,6,7,8,7,7,7,8,21.37
1743710982515306,8,7,10,7,7,8,7,8,6,8,6,4,21.35
1743710982542338,6,7,7,8,6,7,6,7,8,7,8,7,21.3
1743710982569315,7,7,7,8,7,7,7,6,7,8,7,7,21.0
1743710982595479,10,6,7,7,7,7,8,7,8,7,10,6,21.35
1743710982622949,11,8,6,8,8,7,9,7,7,7,7,7,21.02
1743710982649719,6,4,7,7,7,7,7,7,7,8,7,7,21.35
1743710982676092,10,8,8,6,7,3,7,8,7,7,6,8,21.33
1743710982703607,8,7,6,7,7,8,6,7,6,7,8,7,20.68
1743710982731412,11,6,7,6,7,8,6,7,7,7,7,7,21.38
1743710982758767,9,8,6,7,8,7,7,6,8,8,6,7,21.44
1743710982785220,7,7,8,8,8,9,8,4,9,8,6,8,21.35
1743710982811813,6,15,9,7,10,7,8,6,7,7,6,8,21.45
1743710982838998,11,42,9,8,7,9,7,7,7,7,8,7,21.51
1743710982865867,7,74,6,7,3,7,8,7,8,6,5,6,21.37
1743710982892435,8,102,8,7,7,8,8,7,7,6,7,6,21.4
1743710982918985,6,130,7,7,6,8,7,6,8,11,8,6,21.51
1743710982945411,7,152,7,7,7,7,8,7,8,6,8,6,21.47
1743710982972091,6,174,7,9,7,7,7,7,4,7,7,8,21.45
1743710982998465,8,182,8,7,7,7,7,7,7,9,7,11,21.42
1743710983025107,7,191,6,7,4,7,8,8,8,7,8,7,21.45
1743710983051968,11,204,6,8,7,7,7,8,6,8,7,8,21.44
